iso3,outcome,factor,sex_name,age_name,paf,deaths_attr,deaths_lo,deaths_hi,glp1_channel,convergence
BRA,IHD,fruits,Female,45-49 years,0.0808715178505528,131.979112089909,31.193138985492048,269.37288892207107,部分汇流-结构小部可及,0.13
BRA,IHD,fruits,Female,50-54 years,0.063010655187237,154.54820536998807,31.09503319984808,332.3144439107128,部分汇流-结构小部可及,0.13
BRA,IHD,fruits,Female,55-59 years,0.0463807890393664,170.60162540206622,32.20940681893356,380.1621599441945,部分汇流-结构小部可及,0.13
BRA,IHD,fruits,Female,60-64 years,0.0367433433781195,200.46266753931167,33.38506647705771,470.76811366098383,部分汇流-结构小部可及,0.13
BRA,IHD,fruits,Female,65-69 years,0.0317597855928025,223.79610304910165,35.64434245558852,511.3317243299061,部分汇流-结构小部可及,0.13
BRA,IHD,fruits,Female,70-74 years,0.0287540926224473,236.82038906220387,37.8755981992614,527.1596207924387,部分汇流-结构小部可及,0.13
BRA,IHD,fruits,Female,75-79 years,0.0269541578575926,238.0911909598758,35.13184531644404,550.7317710114937,部分汇流-结构小部可及,0.13
BRA,IHD,fruits,Female,80-84 years,0.0279678340772918,249.2607890490717,37.926660407793904,565.0139499461707,部分汇流-结构小部可及,0.13
BRA,IHD,fruits,Female,85-89 years,0.0279233863513931,228.1217535048161,33.436415148259776,520.0322998517835,部分汇流-结构小部可及,0.13
BRA,IHD,fruits,Female,90-94 years,0.0277413392824777,155.07230950972436,23.745192522874504,359.3214636781822,部分汇流-结构小部可及,0.13
BRA,IHD,fruits,Female,95+ years,0.0273845270478572,91.79608323113732,14.220578500273804,210.876584941159,部分汇流-结构小部可及,0.13
TUR,IHD,fruits,Female,25-29 years,0.0262278190951872,1.159624781189747,0.0893758418811345,4.254797207229752,部分汇流-结构小部可及,0.13
TUR,IHD,fruits,Female,30-34 years,0.0234054201449998,1.585857563571461,0.1674820720042175,5.75513485039872,部分汇流-结构小部可及,0.13
TUR,IHD,fruits,Female,35-39 years,0.0204099747004444,2.506398368962207,0.2497571342551199,9.266070484858528,部分汇流-结构小部可及,0.13
TUR,IHD,fruits,Female,40-44 years,0.015957345178743,4.05891259331228,0.3544502931749818,14.659799512395637,部分汇流-结构小部可及,0.13
TUR,IHD,fruits,Female,45-49 years,0.0107423393910356,4.600728513935565,0.4027081337376222,18.277095881337,部分汇流-结构小部可及,0.13
TUR,IHD,fruits,Female,50-54 years,0.0069786399172818,4.816587501813754,0.3917702361451002,20.00503539496576,部分汇流-结构小部可及,0.13
